word,translation,toeic_target,sentence,trans_s
anytime,adv. ????   ,??, You can call me anytime if you need help,????????????????
anyway,adv. ????  ,??," 1. Anyway, let’s finish the work first.  2. It’s raining, but I’ll go out anyway.",1. ?????????? 2. ????????????
anywhere/anyplace,adv. ?????  ,??, 1. I can go anywhere you want.,1. ?????????????
ape,n. ??? v.??,??,1.The ape climbed the tree quickly. 2.He tried to ape his boss’s behavior.,1. ????????2. ???????????
appearance,n. ????????  ,??, 1. Her appearance changed a lot after the haircut.  2. The sudden appearance of the cat startled me.,1. ??????????? 2. ???????????
appetite,n.?????  ,??, 1. He has a big appetite and can eat a lot.  2. Stress can sometimes reduce your appetite.,1. ??????????? 2. ????????????
apply,v. ????????  ,??, 1. She applied for a job at the company.  2. You can apply this method to solve other problems.  3. Apply the cream to your skin twice a day.,1. ?????????? 2. ????????????????? 3. ?????????
approach,n. ?? v. ?????  ,??," 1. We need a new approach to solve this problem.  2. As we approached the station, it started to rain.",1. ?????????????????? 2. ??????????????
argument,n. ????????  ,??, 1. They had an argument about money last night.  2. Her main argument was that the law is unfair.,1. ??????????? 2. ?????????????
arrangement,n. ???????????  ,??, 1. She made all the travel arrangements for the trip.  2. The flower arrangement on the table is beautiful.  3. We had an arrangement to meet at 7 p.m.,1. ??????????? 2. ??????????? 3. ???????????
arrival,n. ???(?????)??  ,??, 1. Our arrival at the hotel was delayed by traffic.  2. The arrival of spring brought warmer weather.,1. ???????????? 2. ??????????????
arrow,n. ?,??,Follow the arrow to find the exit.,????????????
article,n. ?????  ,??, 1. I read an interesting article about space travel.  2. “The” is a definite article.,1. ????????????????? 2. ?The??????
attempt,n./v. ?????  ,??, 1. His attempt to break the record failed.  2. She attempted to lift the heavy box by herself.,1. ?????????? 2. ?????????????
attend,v. ?????  ,??, 1. She will attend the meeting tomorrow morning.  2. The nurse attended the patient all night.,1. ??????????? 2. ?????????
author,n. ?????? v. ?????  ,??, 1. J.K. Rowling is the author of the Harry Potter series.  2. He was the author of the new company policy.  3.  She authored several best-selling novels,1. J.K. ??????????????? 2. ???????????? 3. ?????????
average,adj. ??????? n. ?????? v. ???...????  ,??," 1. He’s just an average student, not particularly good or bad.  2. The average of 80, 90, and 100 is 90.  3. She averages 8 hours of sleep per night.",1. ?????????????????? 2. 80?90 ? 100 ????? 90? 3. ??????8???
backward,adv. ??? adj. ???????  ,??, 1. He took a step backward to avoid the falling object.  2. The company experienced backward movement in sales last quarter.  3. The region is still backward in terms of technology.,1. ???????????????? 2. ??????????? 3. ?????????????
balance,n. ???????? v. ??  ,??, 1. She lost her balance and fell.  2. I checked my bank account balance online.  3. He balanced the books to avoid mistakes.,1. ????????? 2. ????????????? 3. ???????????
bar,n. ??????? v. ?????  ,??, 1. He ate a chocolate bar.  2. We met at a bar for drinks after work.  3. The fence acted as a bar to keep people out.,1. ?????????? 2. ??????????? 3. ??????????????
basics,n. ???????  ,??," 1. Before advanced lessons, you need to understand the basics.  2. The class covers the basics of computer programming.",1. ????????????????? 2. ????????????????
basis,n. ????????  ,??, 1. Trust is the basis of a good relationship.  2. Decisions were made on the basis of available data.,1. ??????????? 2. ?????????????
battle,n. ???????? v. ?...??  ,??, 1. The soldiers fought bravely in the battle.  2. The two companies are in a battle for market share.  3. She is battling a serious illness.,1. ???????????? 2. ????????????????? 3. ???????????
beg,v. ?????  ,??, 1. He begged her to stay.  2. The homeless man begged for money on the street.,1. ??????? 2. ?????????????
being,n. ?????  ,??, 1. Human beings have the ability to think  2. Aliens are fictional beings in many movies.,1. ???????? 2.?????????????????
belief,n. ????????  ,??, 1. Her belief in honesty is very strong.  2. There is a common belief that exercise improves health.,1. ???????????? 2. ????????????
bend,v. ??? n. ???  ,??, 1. Be careful not to bend the metal rod.  2. The car slowed down as it approached the bend in the road.,1. ?????????? 2. ???????????
better,adj. ??? adv. ???????? n. ????? v. ??  ,??, 1. This restaurant has better food than the one we went to last week.  2. He knows better than to lie.  3. She is trying to better her English skills.,1. ???????????????????? 2. ???????? 3. ???????????????
billion,n. ?????  ,??, 1. The company is worth over five billion dollars.,1. ?????????????
birth,n. ????????  ,??, 1. The baby’s birth was a joyful event for the family.  2. She gave birth to a healthy baby last night.  3. The birth of the Internet changed the world.,1. ?????????????????? 2. ????????????? 3. ?????????????
biscuit,n. ???(??)???(??),??,She bought a pack of chocolate biscuits.,???????????
bit,n. ???????? v. ?   ,??, 1. Can you give me a bit of sugar?  2. I only saw a bit of the movie.  3. The dog bit the mailman.,1. ????????? 2. ???????????? 3. ??????
border,n. ???????? v. ?...?????  ,??, 1. The river forms the border between the two countries.  2. There is a decorative border around the picture frame.  3. Canada borders the United States to the south.,1. ??????????? 2. ?????????? 3. ?????????
brain,n. ?????  ,??, 1. The brain controls all the functions of the body.  2. She is the brain behind the successful project.,1. ???????????? 2. ??????????????
brand,n. ????? v.  ????...???  ,??," 1. Nike is a well-known sports brand.  2. In the past, criminals were branded as punishment.  3. He was branded a liar after the scandal.",1. Nike ??????????? 2. ?????????????? 3. ??????????????
brief,adj. ??? n. ????? v. ?...????  ,??, 1. We had a brief conversation before the meeting started.  2. The lawyer gave the judge a written brief.  3. The manager briefed the team on the new project.,1. ???????????????? 2. ???????????? 3. ????????????
brilliant,adj. ???????  ,??, 1. The stars looked brilliant in the night sky.  2. She's a brilliant scientist with many important discoveries.,1. ???????????? 2. ??????????????????????
burden,n. ????? v. ?...???  ,??, 1. Taking care of his sick parents is a heavy burden for him.  2. I don’t want to burden you with my problems.,1. ?????????????????? 2. ??????????????
camel,n. ??,??,The camel can survive in the desert for a long time.,?????????????
capital,n. ?????????? adj. ?????????????  ,??, 1. Paris is the capital of France.  2. Please write your name in capital letters.  3. He invested a large amount of capital in his new business.  4. Education is of capital importance to a country's future.,1. ????????? 2. ??????????? 3. ?????????????? 4. ?????????????
cell,n. ????????  ,??, 1. The prisoner was locked in a small cell for the night.  2. The human body is made up of trillions of cells.  3. The flashlight needs two AA cells to work.,1. ????????????? 2. ??????????? 3. ???????AA???????
chain,n. ???????????? v. ?????  ,??, 1. He wore a gold chain around his neck.  2. This is a popular fast-food chain with stores all over the world.  3. The accident caused a chain of delays on the highway.  4. He chained his bike to the post.,1. ???????????? 2. ?????????????????????? 3. ????????????? 4. ???????????
challenge,n. ?? v. ?...?????  ,??, 1. Climbing the mountain was a real challenge for him.  2. She challenged him to a game of chess.  3. He challenged the decision made by the manager.,1. ????????????? 2. ?????????? 3. ?????????
chapter,n. ?????????  ,??, 1. I just finished reading Chapter 5 of the novel.  2. Moving to a new city was an exciting chapter in her life.,1. ??????????? 2. ??????????????????
chemical,adj. ??? n. ????  ,??, 1. The factory was shut down due to a chemical leak.  2. Some cleaning products contain harmful chemicals.,1. ???????????? 2. ???????????????
chief,adj. ??????? n. ??  ,??, 1. His chief reason for quitting was the long working hours.  2. The chief of the tribe welcomed the visitors warmly.,1. ???????????????? 2. ????????????
china,n. ??  ,??, She collects antique china from the 18th century.,???18????????
chopstick(s),n. ??,??,She dropped her chopsticks on the floor.,?????????
claim,n./v. ????????  ,??, 1. He claims that he was not at the scene of the accident.  2.The company made a claim for insurance.  3. She claimed compensation for the damaged goods.,1. ???????????? 2. ????????? 3. ??????????
classic,adj. ??? n. ????  ,??, 1. This novel is a classic example of 19th-century literature  2. Pride and Prejudice” is considered a classic in English literature.,1. ?????19????????? 2.?????????????????
click,v. ?? n. ???  ,??, 1. Click the button to start the game.  2. He heard a click as the door locked.,1. ????????? 2. ???????????
cloth,n. ?????  ,??, She wiped the table with a clean cloth.,???????????
clothing,n. ??????  ,??, The organization provided food and clothing for the victims.,???????????????
coal,n. ??,??,Coal is used as a source of energy.,??????????
cockroach/roach,n. ??,??,I saw a cockroach in the kitchen last night.,?????????????
cocoa,n. ???,??,I like drinking hot cocoa in winter.,??????????
cola/Coke,n. ??,??,I ordered a glass of cola.,????????
combine,v. ??  ,??, She combines creativity with hard work to achieve success.,?????????????????
comic(s),adj. ??? n. ???????  ,??, 1. The movie had a lot of comic moments  2. He enjoys reading Japanese comics.  3. The comic made the audience laugh nonstop.,1. ????????? 2.?????????? 3. ????????????
commercial,adj. ??? n. ????  ,??, 1. The city is a major commercial center.  2. We watched a funny commercial during the Super Bowl.,1. ??????????? 2. ??????????????????
complex,adj. ??? n. ????????  ,??, 1. This math problem is very complex.  2. They live in a large apartment complex.  3. He has a superiority complex.,1. ?????????? 2. ?????????????? 3. ??????
conclude,v. ?????  ,??," 1. The meeting concluded at 5 p.m.  2. From the evidence, we can conclude that he is innocent.",1. ?????5???? 2. ????????????????????
condition,n. ?????????? v. ????...???  ,??, 1. The car is in good condition.  2. She works hard under difficult conditions  3. He suffers from a heart condition.  4. Your success conditions your future opportunities.,1. ??????? 2. ??????????? 3.??????? 4. ?????????????
conflict,n./v. ??  ,??, 1.There was a conflict between the two countries.  2.Their stories conflict with each other.,1. ?????????? 2. ??????????
congratulation(s),n. ??  ,??, Congratulations on your graduation!,??????
connection,n. ?????  ,??, 1. The internet connection is very slow today.  2. She has a connection to the company through her uncle.,1. ?????????? 2. ????????????
consideration,n. ????????  ,??," 1. After careful consideration, she decided to accept the job offer.  2.He showed great consideration for the elderly.",1. ??????????????????? 2. ?????????????
contact,n./v. ?????  ,??, 1. Do you have the contact information for the new client?  2. Please contact me if you have any questions.,1. ???????????? 2. ?????????????
contain,v. ????????  ,??," 1. This box contains old photographs.  2. The stadium can contain 50,000 spectators.  3. Firefighters worked hard to contain the wildfire.",1. ?????????? 2. ??????5????? 3. ??????????
countryside,n. ??  ,??, They spent the weekend relaxing in the countryside.,??????????
crisis,n. ??  ,??, The company faced a financial crisis last year.,?????????????
crow,n. ??????,??,A crow was sitting on the tree branch.,???????????
cultural,adj. ???????  ,??, The festival is a celebration of the city’s cultural heritage.,????????????????
cycle,n. ?? v. ?????  ,??, The water cycle is essential for life on Earth.,?????????????
dancer,n. ??  ,??, She wants to become a professional dancer.,???????????
data,n. ?????  ,??," The researchers collected data from over 1,000 participants.","???????1,000???????????"
debt,n. ?  ,??, He is trying to pay off all his credit card debt.,???????????????
delay,n./v. ??  ,??, 1. There was a long delay before the train arrived.  2. They decided to delay the meeting until next week.,1. ????????????? 2. ?????????????
delivery,n. ???????????  ,??, 1. The delivery will arrive in two days.  2. She had a smooth delivery last night.,1. ???????? 2. ????????
deny,v. ?????????  ,??, 1. He denied stealing the money.  2. They denied him access to the building.,1. ?????? 2. ???????????
depth,n. ??(?????)  ,??, 1. The pool has a depth of two meters.  2. Her speech showed great depth of understanding.,1. ????????? 2. ?????????????
description,n. ?????  ,??, He gave a clear description of the suspect.,??????????
detail,n. ????? v. ??  ,??, 1. She explained every detail of the plan.  2. The witness detailed what happened that night.,1. ???????????? 2. ???????????????
development,n. ?????  ,??, 1. The development of new technology has changed our lives.  2. There has been a recent development in the investigation.,1. ??????????????? 2. ??????????
dialogue,n. ??  ,??, The book begins with a dialogue between a teacher and a student.,????????????????
director,n. ?????  ,??, 1. She is the marketing director of the company.  2. The movie was directed by a famous director.,1. ?????????? 2. ??????????????
disagree,v. ????(?????)???  ,??, 1. I disagree with your opinion.  2. They often disagree about how to raise their children.,1. ????????? 2. ?????????????????
disagreement,n. ????????????  ,??, 1. There is a disagreement between the reports.  2. They had a serious disagreement about money.,1. ????????? 2. ??????????????
discovery,n. ?????????  ,??, 1. The discovery of penicillin changed modern medicine.  2. This fossil is an important discovery for scientists.,1. ?????????????? 2. ???????????????????
disease,n. ??  ,??, Heart disease is one of the leading causes of death worldwide.,??????????????
display,n. ???????????? v. ????????  ,??, 1. The store displays the newest products in the front window.  2. The monitor displays the results instantly.  3. There was a beautiful flower display at the entrance.  4.The display on this phone is very clear.,1. ??????????? 2. ????????? 3. ?????????????? 4. ????????????
division,n. ??????????????  ,??, 1.  The division of the land caused many arguments.  2. He works in the marketing division of the company.  3. Division is one of the four basic math operations.,1. ???????????? 2. ???????????? 3. ??????????????
domestic,adj. ???????????  ,??, 1. She left her job to focus on domestic responsibilities.  2. The airline only offers domestic flights.  3. Dogs and cats are common domestic animals.,1. ?????????????? 2. ????????????? 3. ??????????
dove,n. ??,??,A white dove is often a symbol of peace.,????????????
drawing,n. ?????(??)???  ,??, 1. She showed me a beautiful pencil drawing of a cat.  2. Drawing helps children develop creativity.  3. They held a drawing to decide who would go first.,1. ???????????????? 2. ????????????? 3. ?????????????
drug,n. ????? v. ?????????...??  ,??, 1. The doctor prescribed a new drug for her illness.  2. He was arrested for possession of illegal drugs.  3. The patient was drugged before the surgery.,1. ????????????? 2. ???????????? 3. ??????????
due,adj. ???????????? adv. ?? n. ????????  ,??, 1. The payment is due next Monday.  2. She received the due respect for her hard work.,1. ??????????? 2. ?????????????
dull,adj. ?????????????? v. ???  ,??, 1. The movie was so dull that I fell asleep.  2. This knife is too dull to cut the meat.,1. ?????????? 2. ???????????
earring(s),n. ??,??,She is wearing gold earrings.,???????
eastern,adj. ???  ,??, The eastern part of the country is known for its beautiful landscapes.,????????????????
edition,n. ??????  ,??, This is the latest edition of the textbook.,???????????
effect,n. ???????? v. ?????  ,??, 1. The medicine had a positive effect on her health.  2. The new law will effect significant changes in the industry.,1. ????????????? 2. ?????????????
effective,adj. ?????????????  ,??, 1. The new medicine is very effective in treating headaches.  2. The policy will be effective starting next month.,1. ?????????????? 2. ???????????
electrical,adj. ??  ,??, The electrical system in the house needs to be repaired.,????????????
employee,n. ??  ,??, The company has over 500 employees.,??????500????
employer,n. ??  ,??, The employer provides health insurance to all employees.,??????????????
employment,n. ????????  ,??, He is looking for employment in the tech industry.,?????????????
empty,adj. ??????????? v. ??????  ,??, 1. The box is empty.  2. He felt empty after the argument.  3. Please empty the trash can.,1. ?????? 2. ????????? 3. ???????
encourage,v. ??  ,??, My parents always encourage me to do my best,????????????
encouragement,n. ??  ,??, Thank you for your encouragement.,???????
ending,n. ??  ,??, The movie had a surprising ending.,?????????
entire,adj. ???????  ,??, He ate the entire cake by himself.,????????????
environmental,adj. ???  ,??, We must take environmental problems seriously.,?????????????
escape,n./v. ?????  ,??, 1. The prisoner tried to escape from jail.  2. Their only escape was through the window.,1. ??????? 2. ?????????????????
essay,n. ????????  ,??, I wrote an essay about my summer vacation.,???????????????
exact,adj. ??? v. ?????  ,??, 1. I need the exact time of the meeting.  2. The kidnappers exacted a large ransom.,1. ??????????? 2. ??????????
examination/exam,n. ??  ,??, The students are preparing for their final examination.,????????????
examine,v. ????????  ,??, 1. The doctor examined the patient carefully.  2. We need to examine the evidence before making a decision.  3. The teacher will examine the students next week.,1. ????????? 2. ?????????????? 3. ???????????
excitement,n. ????????  ,??, 1. The children showed great excitement on Christmas morning.  2. There was a lot of excitement before the big game.,1. ?????????????????? 2. ??????????
existence,n. ??  ,??, The existence of life on other planets is still unknown.,???????????????
expense,n. ????????  ,??, The trip was cancelled because of the high expense.,??????????????
expert,n. ?? adj. ????????  ,??, 1. She is an expert in computer science.  2. He gave an expert analysis of the situation.,1. ????????? 2. ????????????
expression,n. ?????  ,??, 1. Her facial expression showed surprise.  2. This painting is an expression of the artist's feelings.,1. ????????? 2. ?????????????
eyebrow/brow,n. ??,??,She raised her eyebrows in surprise.,?????????
factor,n. ?????????  ,??," 1. Weather is an important factor in deciding the event date.  2. In math, a factor is a number that divides another number evenly.",1. ??????????????? 2. ?????????????????????
failure,n. ??  ,??," Despite his failure, he never gave up.",????????????
fashion,n. ??????? v. ????...???  ,??, 1. The dress was made in the fashion of the 1920s.  2. She loves keeping up with the latest fashion trends.  3. The artist fashioned a sculpture out of clay.,1. ???????1920???????? 2. ????????????? 3. ??????????????
fate,n. ??  ,??, Some people believe that fate determines everything in life.,????????????????
favor,n. ???????? v. ????????  ,??, 1. Can you do me a favor and help me with this?  2. She showed favor to the new employee.  3. The teacher favored students who participated actively.,1. ???????????????? 2. ??????????? 3. ????????????
feature,n. ????? v. ?...???  ,??, 1. The smartphone has many useful features.  2. The festival features local artists and musicians.,1. ?????????????? 2. ?????????????????
fellow,n. ???????  ,??, He seems like a nice fellow.,???????????
female,adj. ??? n. ??  ,??, 1. She was the first female president of the country.  2. The doctor is a female.,1. ??????????? 2. ??????
field,n. ???????????  ,??, 1. The cows are grazing in the field.  2. She is an expert in the field of medicine.,1. ???????? 2. ??????????
figure,n. ????????(??????)?????? v. ?????  ,??, 1. She has a slim figure.  2. He is a well-known figure in the music industry.  3. Can you read this figure?  4. Look at figure 2 in the textbook.  5. I figure he’ll be late again.,1. ?????? 2. ?????????? 3. ?????????? 4. ????????2? 5. ????????
fireman/firewoman,n. ???,??,The fireman rescued the child from the burning house.,????????????????
firm,n. ????? adj. ??? v. ??? adv. ???  ,??, 1. He works for a law firm.  2. The ground was firm under our feet.  3. We need to firm up the plan before presenting it.,1. ???????????? 2. ????????? 3. ??????????????
flat,adj. ??? adv. ??????? n. ????  ,??, 1. The road is flat and easy to walk on.,1. ??????????
flow,n./v. ??  ,??, 1. The flow of water was very strong.   2. The river flows into the sea.,1. ???????  2. ???????
folk,n. ????? adj. ??????? ,??, 1. Some folks prefer the countryside to the city.  2. She enjoys listening to folk from Ireland.  3. He’s a collector of folk art.,1. ???????????? 2. ?????????????? 3. ??????????
following,adj. ??????? prep. ?...?? n. ?????????  ,??," 1. Please read the following instructions carefully.  2. Following the meeting, we had lunch together.  3. The singer has a huge following on social media.",1. ?????????? 2. ??????????????? 3. ???????????????????
force,n. ?? v. ??  ,??, 1. The force of the wind broke the window.  2. They forced him to apologize.,1. ???????? 2. ???????
forth,adv. ??  ,??, She stepped forth to speak.,?????????
forward/forwards,adv. ?????? adj. ??????????????? v. ??(??)   ,??, 1. Please move forward in the line  2. The forward part of the ship was damaged.  3. She is very forward in speaking her mind.  4. I will forward your email to the manager.,1. ???????? 2.????? 3. ?????????????? 4. ???????????????
found,v. ??  ,??, They founded a new company last year,????????????
fries,n. ???,??,I ordered a burger with fries.,???????????
function,n. ?? v. ??????  ,??, 1. The function of the heart is to pump blood.  2. The machine is functioning properly.,1. ????????? 2. ???????
further,adv. ????????? adj. ???????? v. ??  ,??, 1. The investigation will continue further next week.  2. We need further information before making a decision.  3. She worked hard to further her career.,1. ??????????? 2. ?????????????? 3. ??????????????
gardener,n. ?????  ,??, The gardener waters the flowers every morning.,???????????
garlic,n. ??,??,I like pasta with garlic and olive oil.,????????????????
giraffe,n. ???,??,The giraffe has a very long neck.,??????????
govern,v. ?????  ,??, The country is governed by a democratically elected president.,???????????????
gradual,adj. ???????  ,??, There has been a gradual improvement in his health.,???????????
grain,n. ??  ,??, 1. The farmer harvested tons of grain this year.,1. ????????????
grand,adj. ???????????  ,??, 1. They held a grand ceremony to celebrate the opening of the new museum.  2. She has grand dreams of becoming a famous actress.  3. That was a grand vacation!,1. ????????????????? 2. ??????????????? 3. ??????????
growth,n. ????????  ,??, 1. A healthy diet is important for a child’s growth.  2. The company has seen rapid growth in recent years,1. ???????????????? 2. ?????????
gymnasium/gym,n. ???,??,The students are playing basketball in the gymnasium.,????????????
hamburger/burger,n. ??,??,I ate a hamburger for lunch.,????????
heaven,n. ????????????????  ,??, 1. She believes her grandmother is in heaven.  2. This beach is like heaven.  3. The heavens opened and it began to pour.,1. ????????? 2. ????????? 3. ????????????
hero/heroine,n. ??????,??,He is considered a hero for saving the child.,?????????????
highly,adv. ???????  ,??, 1. She is a highly intelligent woman.  2. This is a highly sensitive issue.,1. ???????????? 2. ????????????
hike,n. ?? v. ???(???)??  ,??, 1. We went for a 10-kilometer hike.  2. We hiked in the mountains last weekend.  3. The government plans to hike fuel prices.,1. ??????10??? 2. ??????????? 3. ???????????
hippopotamus/hippo,n. ??,??,We saw a hippo at the zoo.,???????????
historical,adj. ???  ,??, This book is about historical events in ancient China.,?????????????????
host/hostess,n. ?????????? v. ?????  ,??, 1. He was a generous host at the party.  2. Taiwan will host the international conference next year.,1. ????????????? 2. ?????????????
huge,adj. ???????  ,??, 1. They live in a huge house near the beach.  2. There was a huge crowd at the concert.,1. ???????????????? 2. ???????????
ideal,adj. ??? n. ?????  ,??, 1. This is the ideal place for a vacation.  2. He strives to live up to his ideals.,1. ?????????? 2. ???????????
identity,n. ??????????  ,??, 1. He showed his identity card to the officer.  2. Cultural identity is important to many people.  3. She struggles with her identity as an artist.,1. ??????????? 2. ?????????????? 3. ???????????????
image,n. ????? v. ????????? ,??, 1. The image on the screen was very clear.  2. The company is trying to improve its public image.  3. The artist imaged the scene beautifully in his painting.,1. ??????????? 2. ????????????? 3. ??????????????????
impressive,adj. ???????  ,??, The singer gave an impressive performance last night.,????????????????
improvement,n. ??  ,??, There has been a significant improvement in her health.,?????????????
indeed,adv. ??  ,??," 1. She is indeed very talented.  2. Indeed, it was the best day of my life.",1. ????????? 2. ????????????????
independence,n. ??  ,??, The country declared its independence in 1945.,???1945??????
individual,adj. ??????? n. ??  ,??, 1. Each student has individual needs.  2. Every individual is responsible for their actions.,1. ???????????? 2. ?????????????
industry,n. ??  ,??, The technology industry is growing rapidly.,???????????
instance,n. ??  ,??, This is a good instance of teamwork.,???????????
instead,adv. ?????  ,??," 1. I didn’t go to the party. Instead, I stayed home and read a book.  2. Use oil instead of butter in this recipe.",1. ?????????????????? 2. ???????????
instruction,n. ??????????????? ,??, 1. The teacher gave clear instructions to the students.  2. Please read the instructions carefully before using the machine.  3. The judge issued instructions to the jury.,1. ?????????? 2. ????????????? 3. ???????????
internal,adj. ???????????  ,??, 1. The company is facing some internal problems.  2. She has an internal struggle about her decision.  3. He suffered internal injuries in the accident.,1. ??????????? 2. ???????????? 3. ??????????
internet,n. ????,??,The internet helps us find information quickly.,?????????????
introduction,n. ???????????  ,??, 1. et me give you an introduction to our new team member.  2. The introduction of the book explains the main topics.  3. The introduction of new technology improved productivity.  4. This is an introduction to programming course.,1. ??????????????? 2. ??????????? 3. ????????????? 4. ?????????????
jog,v. ????? n. ?????  ,??, 1. I jog every morning to keep fit.  2. She jogged my memory about the meeting.  3. Going for a jog in the park is relaxing.,1. ????????????? 2. ?????????????? 3. ?????????
joint,adj. ??????????? n. ??  ,??, 1. They made a joint decision to start a business.  2. My knee joint hurts after running.,1. ????????? 2. ??????????
journal,n. ?????,??,The research was published in a scientific journal.,?????????????
judgement/judgment,n. ????????????  ,??," 1. She showed good judgment in handling the problem.  2. The court’s judgment was in favor of the defendant.  3. In my judgment, this is the best option.",1. ????????????????? 2. ????????? 3. ?????????????
justice,n. ???????????  ,??, 1. Everyone deserves justice regardless of their background.  2. The justice system is designed to protect citizens’ rights.  3. The judge delivered justice in the courtroom.,1. ?????????????????? 2. ????????????? 3. ????????????
keeper,n. ???????  ,??, 1. The zoo keeper takes care of the animals.  2. He is the keeper of the old manuscripts.,1. ??????????? 2. ???????????
ladybug,n. ??,??,Children like to catch ladybugs in the garden.,?????????????
lane,n. ????????  ,??, 1. Stay in your lane while driving.  2. They live in a quiet lane behind the main street.,1. ?????????? 2. ????????????????
lap,n. ???????????????????????????? v. ?????????????????????????  ,??, 1. She placed the baby on her lap.  2. He completed the first lap of the race quickly.  3. The dog lapped the water from the bowl.  4. The waves lapped against the shore gently.  5. The runner lapped his opponent twice before the finish.,1. ????????? 2. ????????????? 3. ??????? 4. ?????????? 5. ???????????
leadership,n. ????????????????  ,??, 1. Good leadership is essential for a successful team.  2. She took on a leadership role in the company.,1. ??????????????? 2. ???????????
legal,adj. ????????  ,??, 1. They are seeking legal advice from a lawyer.  2. Smoking is legal only in designated areas.,1. ?????????????? 2. ????????????
length,n. ?????  ,??, 1. The length of the table is two meters.  2. The movie’s length is about two hours.,1. ????????? 2. ?????????
lens,n. ?????  ,??, I need to clean the camera lens before taking pictures.,??????????????
liberal,adj. ????????????? n. ?????  ,??, 1. She has a liberal attitude towards education.  2. The government adopted liberal policies to encourage growth.  3. He is very liberal with his time and money.  4. Many liberals advocate for social justice.,1. ?????????? 2. ?????????????? 3. ???????????? 4. ????????????
listener,n. ??,??,A good listener makes people feel comfortable.,???????????????
liver,n. ??????  ,??, The liver helps to detoxify the blood.,??????????
load,n. ????? v. ??  ,??, 1. The truck carried a heavy load of bricks.  2. I have a lot of work load this week.  3. They loaded the boxes onto the truck.,1. ????????? 2. ????????? 3. ??????????
lone,adj. ???  ,??, She made a lone decision to travel abroad.,????????????
loss,n. ????????  ,??, 1. He is still grieving the loss of his father.  2. The company suffered a loss of profits last year.,1. ??????????? 2. ???????
lower,adj. ??????? v. ???????? n.?????   ,??, 1. The lower shelf is for books.  2. Please lower your voice.  3. The company decided to lower prices to attract customers.  4. The lower of the two drawers is stuck.,1. ????????? 2. ?????? 3. ?????????????? 4. ??????????????
luck,n. ?????  ,??, 1. Sometimes luck plays a big role in success.  2. He had the luck to find a job quickly.,1. ??????????????? 2. ????????????
maintain,v. ???????????  ,??, 1. It’s important to maintain a healthy lifestyle.  2. The company maintains its equipment regularly.  3. She maintains that she was not at the scene.,1. ????????????? 2. ?????????? 3. ??????????
